Serial Number,Part Number,Error Code,Error Description,Last Station Known
"1323722029854","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-sn# fail","FLA_REPAIR"
"1323722070305","692-2G506-0210-0R6","EC272","BAT(test-failed)","BAT_REPAIR"
"1323722070317","692-2G506-0210-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-Bent pin","FQC_REPAIR"
"1323722070349","692-2G506-0210-0R6","020025006_na","SMB(non-zero-exit-code)","FLA_REPAIR"
"1323722070625","692-2G506-0210-0R6","981600","找不到设备/显卡(Device/board not recognized)-can't read SN","FLA_REPAIR"
"1323820021553","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9696409", waiting until "load"[22m
","FQC_REPAIR"
"1323820021590","692-2G506-0200-0R6","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","FCT_REPAIR"
"1323820021704","692-2G506-0200-0R6","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","BAT_REPAIR"
"1323820021732","692-2G506-0200-0R6","EC143","CHK_FUSE(test-failed)","FPF_REPAIR"
"1323820021786","692-2G506-0200-0R6","Error","Processing failed: elementHandle.click: Element is not attached to the DOM
Call log:
[2m  - attempting click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m
","BAT_REPAIR"
"1323820021810","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","FCT_REPAIR"
"1323820022559","692-2G506-0200-0R6","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","BAT_REPAIR"
"1323820022642","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1323820022761","692-2G506-0200-0R6","EC272","FCT1(test-failed)","FCT_REPAIR"
"1323820023053","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-can't read sn","FLA_REPAIR"
"1323820023083","692-2G506-0200-0R6","510000242539","FCT1(test-failed)","FCT_REPAIR"
"1323820026843","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-Can't read s/n #","FLA_REPAIR"
"1323820027000","692-2G506-0200-0R6","EC665","","BIT_REPAIR"
"1323820027071","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-sn fail","BAT_REPAIR"
"1323820027574","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","VI1_REPAIR"
"1323820027845","692-2G506-0200-0R6","EC143","CHK_FUSE(test-failed)","FPF_REPAIR"
"1323820027889","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","FLA_REPAIR"
"1323820028185","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","FCT_REPAIR"
"1323820028407","692-2G506-0200-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-bent fins are damaged","FQC_REPAIR"
"1323820028421","692-2G506-0200-0R6","EC272","FCT1(test-failed)","FCT_REPAIR"
"1323820028523","692-2G506-0200-0R6","020043006_na","FLA_REFURB(non-zero-exit-code)","FLA_REPAIR"
"1323820028543","692-2G506-0200-0R6","016014014_na","","BAT_REPAIR"
"1323820028833","692-2G506-0200-0R6","016014006_na","","BAT_REPAIR"
"1323820029154","692-2G506-0200-0R6","071100020077","FCT1(test-failed)","FCT_REPAIR"
"1323820029410","692-2G506-0200-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-bent pins","VI2_REPAIR"
"1323820029755","692-2G506-0200-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-broken buckles","VI1_REPAIR"
"1323820029909","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)","FPF_REPAIR"
"1323820030101","692-2G506-0200-0R6","Error","Processing failed: page.waitForTimeout: Target page, context or browser has been closed","BIT_REPAIR"
"1323820030166","692-2G506-0200-0R6","EC140","","BIT_REPAIR"
"1323820030201","692-2G506-0200-0R6","EC143","CHK_FUSE(test-failed)","FPF_REPAIR"
"1323820030253","692-2G506-0200-0R6","EC665","PHT(test-failed)","BAT_REPAIR"
"1323820031506","692-2G506-0200-0R6","EC143","CHK_FUSE(test-failed)","FPF_REPAIR"
"1323820031701","692-2G506-0200-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-Bent fins","FQC_REPAIR"
"1323820031941","692-2G506-0200-0R6","EC077","FCT1(test-failed)","FCT_REPAIR"
"1323822016533","692-2G510-0210-0R3","981600","找不到设备/显卡(Device/board not recognized)-sn# fail","FLA_REPAIR"
"1323822017213","692-2G510-0210-0R3","EC272","FCT1(test-failed)","FCT_REPAIR"
"1323822017648","692-2G510-0210-0R3","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9408281", waiting until "load"[22m
","BAT_REPAIR"
"1323822040666","692-2G510-0210-0R2","EC272","FCT1(test-failed)","FCT_REPAIR"
"1323822041857","692-2G510-0210-0R2","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","BAT_REPAIR"
"1323822041958","692-2G510-0210-0R2","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","FLA_REPAIR"
"1323822042016","692-2G510-0210-0R2","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9535600", waiting until "load"[22m
","BAT_REPAIR"
"1323822042575","692-2G510-0210-0R2","EC272","FCT1(test-failed)","FCT_REPAIR"
"1323822057316","692-2G510-0210-0R2","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1323822057383","692-2G510-0210-0R2","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","VI2_REPAIR"
"1323822058345","692-2G510-0210-0R2","EC201","PHT(test-failed)","BAT_REPAIR"
"1323822064928","692-2G506-0210-0R6","013015001_na","OQA(test-failed)","OQA_REPAIR"
"1323822065111","692-2G506-0210-0R6","Error","Processing failed: elementHandle.click: Element is not attached to the DOM
Call log:
[2m  - attempting click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m
","FLA_REPAIR"
"1323822065256","692-2G506-0210-0R6","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","FLA_REPAIR"
"1323822065911","692-2G506-0210-0R6","EC665","PHT(test-failed)","BAT_REPAIR"
"1323822066127","692-2G506-0210-0R6","EC665","BIT(test-failed)","BIT_REPAIR"
"1323822066261","692-2G506-0210-0R6","981600","找不到设备/显卡(Device/board not recognized)-sn # fail","FLA_REPAIR"
"1323822066319","692-2G506-0210-006","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-Mildew fin.","VI1_REPAIR"
"1323822066432","692-2G506-0210-0R6","EC199","PHT(timeout)","BAT_REPAIR"
"1323822066544","692-2G506-0210-0R6","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","VI2_REPAIR"
"1323822066585","692-2G506-0210-0R6","Unknown","Unknown","FLA_REPAIR"
"1323822066596","692-2G506-0210-0R6","EC665","FCT1(test-failed)","FCT_REPAIR"
"1323822066598","692-2G506-0210-0R6","981600","找不到设备/显卡(Device/board not recognized)-SN# FAIL","FLA_REPAIR"
"1323822066602","692-2G506-0210-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9535478", waiting until "load"[22m
