Serial Number,Part Number,Error Code,Error Description,Last Station Known
"1320121016271","692-2G506-0210-0R6","EC083","FCT2(test-failed)","FCT_REPAIR"
"1320121016367","692-2G506-0210-0R6","EC011","FCT1(test-failed)","FCT_REPAIR"
"1320121017373","692-2G506-0210-0R6","EC272","FCT1(test-failed)","FCT_REPAIR"
"1320121023313","692-2G506-0210-0R6","EC272","BAT(test-failed)","BAT_REPAIR"
"1320121023314","692-2G506-0210-0R6","EC665","PHT(test-failed)","BAT_REPAIR"
"1320221003996","692-2G506-0210-0R6","EC077","","FCT_REPAIR"
"1320222034888","692-2G506-0210-0R6","EC665","BIT(test-failed)","BIT_REPAIR"
"1320222057030","692-2G506-0200-0R6","EC140","BAT(test-failed)","BAT_REPAIR"
"1320222089308","692-2G506-0200-0R6","EC140","PHT(test-failed)","BAT_REPAIR"
"1320222095894","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-sn# fail","FLA_REPAIR"
"1320322001636","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-sn# fail","FLA_REPAIR"
"1320322002686","692-2G506-0200-0R6","EC665","","BIT_REPAIR"
"1320322019974","692-2G506-0200-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-buckles damage on both sides","FQC_REPAIR"
"1320322020149","692-2G506-0200-0R6","EC077","FCT1(test-failed)","FCT_REPAIR"
"1320322022421","692-2G506-0200-0R6","9854E0","PCB刮伤/裂纹/殘漆/破损/其他外观不良(PCB Scratch / crack / paint / damage or other cosmetic)-Bent pins","FQC_REPAIR"
"1320421020067","692-2G506-0210-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9630599", waiting until "load"[22m
","FCT_REPAIR"
"1320421021407","692-2G506-0210-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9701213", waiting until "load"[22m
","BAT_REPAIR"
"1320422044629","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1320422044674","692-2G506-0200-0R6","EC665","PHT(test-failed)","BAT_REPAIR"
"1320422048974","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1320422049742","692-2G506-0200-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","VI1_REPAIR"
"1320521001058","692-2G506-0200-0R6","EC200","BIT2(test-failed)","BIT_REPAIR"
"1320521001466","692-2G506-0200-0R6","Error","Processing failed: page.content: Unable to retrieve content because the page is navigating and changing the content.","BAT_REPAIR"
"1320521019373","692-2G506-0200-0R6","981600","找不到设备/显卡(Device/board not recognized)-SN FAIL","FLA_REPAIR"
"1320522055137","692-2G506-0210-0R6","Error","Processing failed: elementHandle.click: Element is not attached to the DOM
Call log:
[2m  - attempting click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m
","BAT_REPAIR"
"1320522055424","692-2G506-0210-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1320522056265","692-2G506-0210-0R6","EC140","PHT(test-failed)","BAT_REPAIR"
"1320522056277","692-2G506-0210-0R6","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","FLA_REPAIR"
"1320522064794","692-2G506-0210-0R6","9857E0","PCB弯曲/扭曲/破损(PCB Bent / twisted / damaged)-bent pin","VI2_REPAIR"
"1320522066006","692-2G506-0210-0R6","Error","Processing failed: page.waitForTimeout: Target page, context or browser has been closed","VI2_REPAIR"
"1320621033723","692-2G506-0200-0R6","EC140","FCT1(test-failed)","FCT_REPAIR"
"1320722006394","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","FPF_REPAIR"
"1320722007637","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","BIT_REPAIR"
"1320722008164","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","BIT_REPAIR"
"1320722008568","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","FI_REPAIR"
"1320722017725","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","BAT_REPAIR"
"1320722018260","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","BAT_REPAIR"
"1320722018309","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","BAT_REPAIR"
"1320722019322","692-2G506-0200-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","BIT_REPAIR"
"1320723000158","692-2G506-0210-0R6","Error","Processing failed: page.waitForSelector: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","FLA_REPAIR"
"1320723000289","692-2G506-0210-0R6","Error","Processing failed: page.waitForSelector: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('[name="ppid"]') to be visible[22m
","FLA_REPAIR"
"1320723000400","692-2G506-0210-0R6","EC316","MST(test-failed)","FCT_REPAIR"
"1320723000802","692-2G506-0210-0R6","EC665","FCT1(test-failed)","FCT_REPAIR"
"1320723001258","692-2G506-0210-0R6","EC097","PHT(test-failed)","BAT_REPAIR"
